,ticker,initialCapital,endCapital,delta
0,A.V,1000,493.14999993145466,-506.85000006854534
1,AAB.TO,1000,925.8299995791167,-74.1700004208833
2,AAC-P.V,1000,999.2800000011921,-0.7199999988079071
3,AAD-P.V,1000,999.8624999970198,-0.13750000298023224
4,AAG.V,1000,963.2499996200204,-36.75000037997961
5,AALI.V,1000,986.279999949038,-13.720000050961971
6,AAN.V,1000,835.6300000846386,-164.3699999153614
7,AAPL.NE,1000,804.8300008773804,-195.16999912261963
8,AAT.V,1000,984.6050476641394,-15.39495233586058
9,AAU.V,1000,927.7649995312095,-72.23500046879053
10,AAV.TO,1000,609.3700013160706,-390.62999868392944
11,AAWH-U.CN,1000,986.6949998140335,-13.305000185966492
12,AAZ.V,1000,974.2894236296415,-25.710576370358467
13,AB-H.V,1000,528.4700007736683,-471.5299992263317
14,ABCT.TO,1000,908.3800003528595,-91.6199996471405
15,ABI.V,1000,972.2149999663234,-27.785000033676624
16,ABN.V,1000,0.03999412059781099,-999.9600058794022
17,ABR.V,1000,981.7899943739176,-18.21000562608242
18,ABRA.V,1000,51.755521847866476,-948.2444781521335
19,ABST.TO,1000,48.60999897122383,-951.3900010287762
20,ABX.TO,1000,5.819987773895271,-994.1800122261047
21,ABXX.NE,1000,963.745000243187,-36.25499975681305
22,ABZ.V,1000,986.8383328355849,-13.161667164415121
23,AC.TO,1000,166.91500276327133,-833.0849972367287
24,ACB-WSU.TO,1000,1000,0
25,ACB.TO,1000,67.85497903823853,-932.1450209617615
26,ACCB-P.V,1000,1000,0
27,ACD.TO,1000,1.3800103664398176,-998.6199896335602
28,ACME.CN,1000,1000,0
29,ACO-X.TO,1000,13.869996070861816,-986.1300039291382
30,ACO-Y.TO,1000,23.092495918273926,-976.9075040817261
31,ACOG.V,1000,988.6349999308586,-11.365000069141388
32,ACOP.V,1000,999.4449999928474,-0.5550000071525574
33,ACP.V,1000,989.1650002449751,-10.83499975502491
34,ACQ.TO,1000,8.450002491474152,-991.5499975085258
35,ACR-H.V,1000,0.054074645042419434,-999.9459253549576
36,ACRG-AU.CN,1000,1000,0
37,ACRG-BU.CN,1000,1000,0
38,ACST.V,1000,0.5450040102005005,-999.4549959897995
39,ACT.CN,1000,988.6299998089671,-11.370000191032887
40,ACU.V,1000,979.9274998083711,-20.072500191628933
41,AD-DBA.TO,1000,1000,0
42,AD-UN.TO,1000,6.680001735687256,-993.3199982643127
43,ADCO.TO,1000,995.4200004339218,-4.579999566078186
44,ADD.V,1000,0.054954573512077665,-999.9450454264879
45,ADE.V,1000,989.8400001646951,-10.159999835304916
46,ADG.V,1000,988.7400000020862,-11.259999997913837
47,ADK.V,1000,558.1500023528934,-441.84999764710665
48,ADMT.CN,1000,999.2899999134243,-0.7100000865757465
49,ADN.TO,1000,6.705010890960693,-993.2949891090393
50,ADW-A.TO,1000,0.38725095987319946,-999.6127490401268
51,ADW-B.TO,1000,13.97777235507965,-986.0222276449203
52,ADX.CN,1000,390.6999999284744,-609.3000000715256
53,ADY.V,1000,999.2375000081956,-0.7624999918043613
54,ADZ.V,1000,996.4474999904633,-3.552500009536743
55,ADZN.V,1000,967.0400001108646,-32.95999988913536
56,AE.V,1000,998.4599999990314,-1.5400000009685755
57,AEC.V,1000,953.665000192821,-46.334999807178974
58,AEG.TO,1000,446.96500124037266,-553.0349987596273
59,AEM.TO,1000,6.125020980834961,-993.874979019165
60,AEP.V,1000,761.9800002425909,-238.0199997574091
61,AEZS.TO,1000,2.25,-997.75
62,AFCC-H.V,1000,720.110002219677,-279.88999778032303
63,AFE.V,1000,974.9599999412894,-25.040000058710575
64,AFI.CN,1000,982.249998934567,-17.750001065433025
65,AFM.V,1000,804.4349997863173,-195.56500021368265
66,AFN-DBI.TO,1000,1000,0
67,AFN.TO,1000,5.525002956390381,-994.4749970436096
68,AG-UN.CN,1000,617.1889977790415,-382.81100222095847
69,AGD.V,1000,989.694999916479,-10.305000083521008
70,AGF-B.TO,1000,2.8400001525878906,-997.1599998474121
71,AGH-H.V,1000,994.547500019893,-5.45249998010695
72,AGI.TO,1000,2.0950013399124146,-997.9049986600876
73,AGL.V,1000,0.0,-1000.0
74,AGLD.V,1000,994.6419663317502,-5.3580336682498455
75,AGMR.V,1000,999.2025000080466,-0.797499991953373
76,AGN.CN,1000,316.8100001811981,-683.1899998188019
77,AGO.V,1000,980.4000002825633,-19.59999971743673
78,AGR-UN.TO,1000,893.0600006580353,-106.93999934196472
79,AGRA.CN,1000,565.8566629588604,-434.1433370411396
80,AGRI-RTU.TO,1000,1000,0
81,AGRI-U.TO,1000,1000,0
82,AGRI-WTU.TO,1000,1000,0
83,AGX.V,1000,348.5750012397766,-651.4249987602234
